PKG: com.android.calendar
____PERM: GRNT	NRML	           UNGROUPED	android.permission.DISABLE_KEYGUARD
____PERM: GRNT	NRML	           UNGROUPED	android.permission.EXPAND_STATUS_BAR
____PERM: GRNT	NRML	           UNGROUPED	android.permission.MANAGE_ACCOUNTS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.READ_PROFILE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.RECEIVE_BOOT_COMPLETED
____PERM: GRNT	NRML	           UNGROUPED	android.permission.REORDER_TASKS
____PERM: GRNT	NRML	           UNGROUPED	android.permission.SET_WALLPAPER
____PERM: GRNT	NRML	           UNGROUPED	android.permission.VIBRATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.WAKE_LOCK
____PERM: GRNT	NRML	           UNGROUPED	com.android.alarm.permission.SET_ALARM
---: ---------------------------------------------------
PKG: com.android.shell
____PERM: GRNT	1218	           UNGROUPED	android.permission.WRITE_SETTINGS
____PERM: GRNT	  18	           UNGROUPED	android.permission.BACKUP
____PERM: GRNT	  18	           UNGROUPED	android.permission.BIND_APPWIDGET
____PERM: GRNT	  18	           UNGROUPED	android.permission.DELETE_CACHE_FILES
____PERM: GRNT	  18	           UNGROUPED	android.permission.DELETE_PACKAGES
____PERM: GRNT	  18	           UNGROUPED	android.permission.FORCE_STOP_PACKAGES
____PERM: GRNT	  18	           UNGROUPED	android.permission.INSTALL_LOCATION_PROVIDER
____PERM: GRNT	  18	           UNGROUPED	android.permission.INSTALL_PACKAGES
____PERM: GRNT	  18	           UNGROUPED	android.permission.MANAGE_DEVICE_ADMINS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MANAGE_USERS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MODIFY_APPWIDGET_BIND_PERMISSIONS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MODIFY_PHONE_STATE
____PERM: GRNT	  18	           UNGROUPED	android.permission.MOUNT_FORMAT_FILESYSTEMS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MOUNT_UNMOUNT_FILESYSTEMS
____PERM: GRNT	  18	           UNGROUPED	android.permission.MOVE_PACKAGE
____PERM: GRNT	  18	           UNGROUPED	android.permission.READ_FRAME_BUFFER
____PERM: GRNT	  18	           UNGROUPED	android.permission.REAL_GET_TASKS
____PERM: GRNT	  18	           UNGROUPED	android.permission.REGISTER_CALL_PROVIDER
____PERM: GRNT	  18	           UNGROUPED	android.permission.REGISTER_CONNECTION_MANAGER
____PERM: GRNT	  18	           UNGROUPED	android.permission.REGISTER_SIM_SUBSCRIPTION
____PERM: GRNT	  18	           UNGROUPED	android.permission.RETRIEVE_WINDOW_CONTENT
____PERM: GRNT	  18	           UNGROUPED	android.permission.STOP_APP_SWITCHES
____PERM: GRNT	  18	           UNGROUPED	android.permission.WRITE_MEDIA_STORAGE
____PERM: GRNT	   2	           UNGROUPED	android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY
____PERM: GRNT	   2	           UNGROUPED	android.permission.ACCESS_SURFACE_FLINGER
____PERM: GRNT	   2	           UNGROUPED	android.permission.BLUETOOTH_STACK
____PERM: GRNT	   2	           UNGROUPED	android.permission.CHANGE_APP_IDLE_STATE
____PERM: GRNT	   2	           UNGROUPED	android.permission.DEVICE_POWER
